humidity,soil_moisture,t_inside,t_outside
35.4,36,21.6,14.12
35.5,36,21.6,14.12
35.2,36,21.6,14.19
35,36,21.6,14.25
34.9,36,21.6,14.19
35,36,21.5,14.25
35.2,36,21.4,14.25
34.8,36,21.4,14.25
34.7,36,21.4,14.31
34.8,36,21.3,14.31
34.9,36,21.3,14.25
34.9,36,21.2,14.25
34.8,36,21.2,14.25
35.1,36,21.2,14.25
35,36,21.2,14.25
34.9,36,21.2,14.25
34.9,36,21.2,14.31
34.9,36,21.2,14.31
35,36,21.2,14.31
34.9,36,21.2,14.31
34.9,36,21.1,14.25
35,36,21.1,14.25
35.1,36,21.1,14.25
34.8,36,21.1,14.25
34.8,36,21.1,14.25
34.9,36,21,14.25
35,36,21,14.19
34.7,36,21,14.19
34.7,36,20.9,14.19
34.9,36,20.9,14.19
35,36,20.9,14.19
34.9,36,20.8,14.12
35,36,20.8,14.12
35.1,36,20.8,14.19
35.2,36,20.8,14.19
35.2,36,20.8,14.19
35.2,36,20.8,14.19
35.5,36,20.8,14.12
36,36,20.7,14.25
35.9,36,20.7,14.19
35.2,36,20.7,14.19
35,36,20.7,14.19
34.8,36,20.8,14.19
34.9,36,20.8,14.19
34.8,36,20.8,14.19
34.6,36,20.8,14.19
34.6,36,20.8,14.19
34.3,36,20.7,14.19
33.9,36,20.7,14.19
33.7,36,20.7,14.19
33.9,36,20.7,14.19
34,36,20.7,14.12
34.1,36,20.7,14.12
34,36,20.7,14.12
34.1,36,20.7,14.12
34.1,36,20.6,14.12
34,36,20.6,14.12
34.1,36,20.6,14.12
34.3,36,20.6,14.19
34.5,36,20.6,14.19
34.4,36,20.6,14.19
34.3,36,20.6,14.12
34.3,36,20.6,14.19
34.4,36,20.6,14.19
34.4,36,20.6,14.12
34.4,36,20.6,14.12
34.6,36,20.6,14.19
34.4,36,20.6,14.19
34.5,36,20.5,14.12
34.6,36,20.5,14.19
34.5,36,20.5,14.19
34.7,36,20.5,14.19
34.7,36,20.5,14.19
34.4,36,20.5,14.12
36.7,36,20.5,14.12
36.5,36,20.5,14.12
36.6,36,20.5,14.12
35.9,36,20.4,14.12
35.4,36,20.4,14.06
37.3,36,20.5,14.12
40.1,36,20.5,14.12
38.8,36,20.5,14.12
38.4,36,20.5,14.12
39.5,36,20.5,14.12
37,36,20.5,14.06
39.6,36,20.5,14.12
41.2,36,20.5,14.12
41.4,36,20.5,14.12
39.3,36,20.5,14.19
37.1,36,20.5,14.12
35.7,36,20.5,14.12
37.2,36,20.5,14.06
36.2,36,20.4,14.06
37.1,36,20.4,14.12
37.4,36,20.4,14.06
36.1,36,20.4,14.12
35.7,36,20.4,14.06
36,36,20.4,14.12
35.2,36,20.4,14.06
34.3,36,20.4,14.12
36,36,20.4,14.12
36.5,36,20.4,14.12
35.4,36,20.4,14.12
37.8,36,20.4,14.06
36.6,36,20.4,14.06
35.6,36,20.4,14.12
34.8,36,20.4,14.06
38.1,36,20.4,14.06
36.6,36,20.4,14.06
35.1,36,20.4,14.06
34.6,36,20.4,14.06
34.4,36,20.4,14.06
34.3,36,20.4,14.12
34.1,36,20.4,14.06
34,36,20.4,14.12
34,36,20.4,14.06
33.4,36,20.4,14.06
33.7,36,20.4,14.06
34,36,20.4,14.06
34.6,36,20.4,14
36.5,36,20.4,14
35.2,36,20.4,14
39.3,36,20.4,14
40.1,36,20.4,14
40.2,36,20.4,14
38.7,36,20.4,14.06
36,36,20.4,14.06
34.8,36,20.4,14
34.6,36,20.4,14
37,36,20.4,14.06
35.4,36,20.4,14
34.4,36,20.4,14
34,36,20.4,14
33.7,36,20.3,14
33.5,36,20.3,14
33.4,36,20.3,14
33.5,36,20.3,14.06
33.5,36,20.3,14.06
33.4,36,20.3,14.06
33.2,36,20.3,14.06
33.5,36,20.3,14
34.2,36,20.3,14
34.6,36,20.3,14
38,36,20.3,14
41.9,36,20.3,14
38.7,36,20.3,14
42,36,20.3,14
37.6,36,20.3,14
35.2,36,20.3,14
36.7,36,20.3,13.94
36.3,36,20.3,13.87
35.5,36,20.3,13.94
34.8,36,20.3,13.94
34.1,36,20.3,13.94
33.5,36,20.3,13.94
34.1,36,20.3,13.94
34.9,36,20.3,13.94
36.3,36,20.3,13.94
35,36,20.3,13.94
37.3,36,20.2,13.94
37.3,36,20.2,14
38.1,36,20.2,14
36,36,20.2,14
37.8,36,20.2,14.06
37.6,36,20.2,14
35.1,36,20.2,14.06
34.1,36,20.2,14
33.5,36,20.2,14
33.2,36,20.1,14.06
33.3,36,20.1,14
33.3,36,20.2,14
33.4,36,20.2,13.94
35.3,36,20.2,13.94
34.6,36,20.2,13.94
33.8,36,20.2,14
33.8,36,20.2,14
33.5,36,20.2,13.94
33.5,36,20.2,14
37,36,20.2,14
36.4,36,20.2,13.94
34.9,36,20.3,13.94
38.7,36,20.3,13.94
39,36,20.3,13.94
37.9,36,20.3,13.94
35.2,36,20.3,14
33.9,36,20.3,14
33.5,36,20.3,14
34,36,20.3,14
34.1,36,20.3,14
33.6,36,20.3,14
33.5,36,20.3,14
35.1,36,20.2,14
34.5,36,20.3,14.06
33.7,36,20.2,14.06
33.5,36,20.3,14.06
33.2,36,20.3,14
33.1,36,20.3,14.06
33.4,36,20.2,14
33.1,36,20.3,14.06
33.3,36,20.2,14.06
33.5,36,20.3,14.06
33.2,36,20.3,14.06
36.3,36,20.3,14.06
35.2,36,20.2,14.06
34.2,36,20.2,14
33.8,36,20.2,14
33.3,36,20.2,14.06
33.1,36,20.2,14.06
33.1,36,20.2,14
33.1,36,20.2,14
33.1,36,20.2,14
33.1,36,20.2,14.06
33.1,36,20.2,14.06
33.2,36,20.2,14.06
33.1,36,20.2,14.06
33,36,20.2,14.06
33.2,36,20.2,14.06
33.2,36,20.2,14
33.2,36,20.2,14.06
33.1,36,20.2,14
33.1,36,20.2,14
32.9,36,20.2,14
32.6,36,20.2,14
32.6,36,20.2,13.94
32.7,36,20.2,14
32.7,36,20.2,13.94
32.7,36,20.2,13.94
32.9,36,20.2,13.94
32.9,36,20.2,13.94
32.9,36,20.1,13.94
33,36,20.2,13.94
33.2,36,20.2,14
33.2,36,20.2,13.94
33.4,36,20.2,14
33.6,36,20.2,13.94
33.3,36,20.2,14
33.2,36,20.2,13.94
31.8,36,20.2,13.94
33.9,36,20.2,13.94
34.2,36,20.2,13.94
34.1,36,20.2,13.94
34,36,20.2,14
33.9,36,20.1,13.94
33.5,36,20.1,14
33.6,36,20.1,14
33.6,36,20.1,14
33.6,36,20.1,14
33.7,36,20.1,14
33.9,36,20.1,14
34.1,36,20.1,14
34.2,36,20,14
34.1,36,20,14
33.7,36,20.1,13.94
34,36,20.1,14
34.8,36,20.1,13.94
34.7,36,20,14
34.5,36,20.1,13.94
34.6,36,20.1,13.94
34.6,36,20.1,13.94
34.6,36,20,13.94
35.7,36,20.1,13.94
35.2,36,20,13.94
35.3,36,20,13.94
35.2,36,20,13.94
35,36,20,13.94
34.8,36,20,13.94
34.5,36,20,13.94
34.4,36,20,13.94
34.5,36,20,13.94
34.7,36,20,13.94
34.8,36,20,13.87
34.8,36,20,13.94
34.8,36,20,13.94
34.8,36,20,13.87
34.9,36,20,13.94
34.9,36,20.1,13.94
34.9,36,20,13.94
34.8,36,20,13.94
35,36,20,13.94
34.9,36,20,13.94
35,36,20,13.94
34.9,36,20,13.87
34.8,36,20,14
34.9,36,20,13.94
35.1,36,20,13.94
35,36,20,13.94
35.4,36,20,13.94
35.5,36,20,13.87
35.8,36,20,13.87
35.8,36,20,13.94
35.6,36,20,13.94
35.5,36,20,13.94
35.3,36,20,13.94
35.3,36,20,13.94
35.1,36,20,13.94
35.3,36,20,13.94
35.5,36,20,14
35.6,36,19.9,14
35.6,36,19.9,14
35.5,36,19.9,14
35.3,36,19.9,14
35.2,36,19.9,14
35.1,36,19.9,14.06
35.3,36,19.9,14.06
35.3,36,20,14
35.3,36,20,14
35.4,36,20,14
35.6,36,20,14
35.7,36,20,14
35.8,36,20,14
35.8,36,20,14
35.6,36,20,14.06
35.2,36,20,13.94
35.4,36,20,14
35.5,36,20,14
35.5,36,20,14
35.5,36,20,14
36.1,36,20,14
36,36,20,14
35.8,36,20,14
35.8,36,20,14
35.7,36,20,14
35.5,36,20,14
35.4,36,19.9,14
35.5,36,19.9,14.06
35.7,36,19.9,14
35.9,36,19.9,14.06
36,36,19.9,14.06
35.9,36,19.9,14.06
35.7,36,19.9,14.06
35.4,36,19.9,14.06
35.5,36,19.9,14.06
35.6,36,19.9,14.06
35.7,36,19.9,14.12
35.7,36,19.9,14.06
35.6,36,19.9,14.06
35.7,36,20,14.12
35.5,36,20,14.06
35.6,36,19.9,14.06
35.5,36,19.9,14.06
35.4,36,19.9,14.06
35.5,36,19.9,14.06
35.6,36,19.9,14.06
35.7,36,19.9,14
35.7,36,19.9,14.06
35.6,36,19.9,14.06
35.6,36,19.9,14
35.6,36,19.9,14.06
35.7,36,19.9,14.06
35.9,36,19.9,14
35.6,36,19.9,14
35.6,36,19.9,14
35.8,36,19.9,14
35.7,36,19.9,14
35.6,36,19.9,14.06
35.7,36,19.9,14
35.8,36,19.9,14
35.7,36,19.9,14
35.6,36,19.9,14
35.5,36,19.9,14
35.3,36,19.9,14
35.5,36,20,14
35.9,36,19.9,14
35.6,36,20,14
35.6,36,20,14
35.6,36,19.9,14.06
35.8,36,19.9,14.06
35.4,36,19.9,14
35.9,36,19.9,14
35.7,36,19.9,14
35.5,36,19.9,13.94
35.6,36,19.9,14.06
35.7,36,19.9,14
35.7,36,19.9,14
35.4,36,19.9,14.06
35.3,36,19.9,14
35.4,36,19.9,14
35.2,36,19.9,14
35.1,36,19.9,14
35.1,36,19.9,14
35.1,36,19.9,14.06
35.4,36,19.9,14.06
35.5,36,19.9,14
35.4,36,19.9,14
35.5,36,19.9,14.06
35.7,36,19.9,14.06
35.8,36,19.9,14
36,36,19.9,14
35.7,36,19.9,14
35.7,36,19.9,14
35.7,36,19.9,14
35.8,36,19.9,14
35.6,36,19.9,14
35.6,36,19.9,14.06
35.7,36,19.9,14.06
35.7,36,19.8,14.06
35.8,36,19.9,14.12
35.9,36,19.9,14.06
35.7,36,19.8,14.12
35.7,36,19.9,14.12
35.7,36,19.9,14.12
35.8,36,19.9,14.12
35.8,36,19.9,14.12
35.6,36,19.9,14.12
35.6,36,19.9,14.12
35.6,36,19.9,14.12
35.7,36,19.9,14.12
35.8,36,19.9,14.12
36,36,19.9,14.06
35.9,36,19.9,14.06
35.8,36,19.9,14.12
35.8,36,19.9,14.06
35.8,36,19.9,14.06
35.8,36,19.9,14.06
35.8,36,19.9,14.06
35.7,36,19.9,14.06
35.9,36,19.9,14.06
36.2,36,19.9,14.12
36.1,36,19.9,14.12
36,36,19.9,14.06
36.1,36,19.9,14.06
36.2,36,19.9,14.06
36.3,36,19.8,14.06
36.3,36,19.8,14.06
36.4,36,19.8,14.06
36.5,36,19.8,14.06
36.4,36,19.8,14
36.2,36,19.8,14
36.3,36,19.8,14.06
36.3,36,19.8,14.06
36.3,36,19.7,14.06
35.9,36,19.7,14.06
35.9,36,19.7,14.06
35.8,36,19.7,14.06
35.9,36,19.7,14.06
36,36,19.8,14.06
36,36,19.7,14.06
35.9,36,19.7,14.06
35.7,36,19.7,14.06
36,36,19.7,14
36,36,19.7,14
36.2,36,19.7,14
36.1,36,19.7,14.06
